step,vehicle,speed,distance_to_intersection,decision
15,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
15,car1,0.0,30.882234211587765,WAIT
15,car2,0.39000000000000057,20.561240390005157,WAIT
15,car3,4.890000000000001,24.33763322719293,WAIT
16,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
16,car1,0.0,30.882234211587765,WAIT
16,car2,0.0,20.561240390005157,WAIT
16,car3,0.39000000000000057,23.992067339033696,WAIT
17,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
17,car1,0.0,30.882234211587765,WAIT
17,car2,0.0,20.561240390005157,WAIT
17,car3,0.0,23.992067339033696,WAIT
18,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
18,car1,0.0,30.882234211587765,WAIT
18,car2,0.0,20.561240390005157,WAIT
18,car3,0.0,23.992067339033696,WAIT
19,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
19,car1,0.0,30.882234211587765,WAIT
19,car2,0.0,20.561240390005157,WAIT
19,car3,0.0,23.992067339033696,WAIT
20,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
20,car1,0.0,30.882234211587765,WAIT
20,car2,0.0,20.561240390005157,WAIT
20,car3,0.0,23.992067339033696,WAIT
21,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
21,car1,0.0,30.882234211587765,WAIT
21,car2,0.0,20.561240390005157,WAIT
21,car3,0.0,23.992067339033696,WAIT
22,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
22,car1,0.0,30.882234211587765,WAIT
22,car2,0.0,20.561240390005157,WAIT
22,car3,0.0,23.992067339033696,WAIT
23,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
23,car1,0.0,30.882234211587765,WAIT
23,car2,0.0,20.561240390005157,WAIT
23,car3,0.0,23.992067339033696,WAIT
24,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
24,car1,0.0,30.882234211587765,WAIT
24,car2,0.0,20.561240390005157,WAIT
24,car3,0.0,23.992067339033696,WAIT
25,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
25,car1,0.0,30.882234211587765,WAIT
25,car2,0.0,20.561240390005157,WAIT
25,car3,0.0,23.992067339033696,WAIT
26,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
26,car1,0.0,30.882234211587765,WAIT
26,car2,0.0,20.561240390005157,WAIT
26,car3,0.0,23.992067339033696,WAIT
27,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
27,car1,0.0,30.882234211587765,WAIT
27,car2,0.0,20.561240390005157,WAIT
27,car3,0.0,23.992067339033696,WAIT
28,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
28,car1,0.0,30.882234211587765,WAIT
28,car2,0.0,20.561240390005157,WAIT
28,car3,0.0,23.992067339033696,WAIT
29,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
29,car1,0.0,30.882234211587765,WAIT
29,car2,0.0,20.561240390005157,WAIT
29,car3,0.0,23.992067339033696,WAIT
30,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
30,car1,0.0,30.882234211587765,WAIT
30,car2,0.0,20.561240390005157,WAIT
30,car3,0.0,23.992067339033696,WAIT
31,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
