step,vehicle,speed,distance_to_intersection,time_to_intersection,raw_decision,final_decision,conflict
12,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
12,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
12,car2,13.89,33.818983045491116,2.434771997515559,WAIT,WAIT,False
12,car3,13.89,51.02273965764107,3.6733433878791266,FREE,FREE,True
13,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
13,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
13,car2,9.39,25.15309650219404,2.678711022597874,WAIT,WAIT,True
13,car3,13.89,37.594670457796035,2.7065997449817156,WAIT,WAIT,True
14,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
14,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
14,car2,4.890000000000001,20.889297399849045,4.271839959069334,WAIT,WAIT,True
14,car3,9.39,28.767166275914157,3.0635959825254693,WAIT,WAIT,True
15,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
15,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
15,car2,0.39000000000000057,20.561240390005157,52.72112920514135,WAIT,WAIT,False
15,car3,4.890000000000001,24.33763322719293,4.9770211098554045,WAIT,WAIT,False
16,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
16,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
16,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
16,car3,0.39000000000000057,23.992067339033696,61.51812138213759,WAIT,WAIT,False
17,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
17,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
17,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
17,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
18,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
18,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
18,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
18,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
19,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
19,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
19,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
19,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
20,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
20,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
20,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
20,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
21,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
21,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
21,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
21,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
22,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
22,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
22,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
22,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
23,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
23,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
23,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
23,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
24,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
24,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
24,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
24,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
25,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
25,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
25,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
25,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
26,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
26,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
26,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
26,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
27,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
27,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
27,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
27,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
28,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
28,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
28,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
28,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
29,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
29,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
29,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
29,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
30,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
30,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
30,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
30,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
31,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
31,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
31,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
31,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
32,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
32,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
32,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
32,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
33,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
33,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
33,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
33,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
34,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
34,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
34,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
34,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
35,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
35,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
35,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
35,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
36,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
36,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
36,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
36,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
37,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
37,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
37,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
37,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
38,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
38,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
38,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
38,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
39,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
39,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
39,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
39,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
40,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
40,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
40,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
40,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
41,car0,2.600000000000005,17.3235563275327,6.662906279820256,PROCEED,PROCEED,False
41,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
41,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
41,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
42,car0,5.200000000000005,13.103167821091775,2.51983996559457,PROCEED,PROCEED,False
42,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
42,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
42,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
43,car0,7.800000000000004,9.49587935175243,1.2174204297118494,PROCEED,PROCEED,False
43,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
43,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
43,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
44,car0,10.400000000000004,13.336128224890123,1.2823200216240498,PROCEED,PROCEED,False
44,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
44,car2,0.0,20.561240390005157,inf,WAIT,WAIT,False
44,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
45,car0,13.000000000000004,23.72875422634077,1.825288786641597,WAIT,WAIT,False
45,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
45,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
45,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
46,car0,8.500000000000004,31.47882348984815,3.7033909988056632,WAIT,WAIT,False
46,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
46,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
46,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
47,car0,4.0000000000000036,35.24576682991362,8.811441707478398,WAIT,WAIT,False
47,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
47,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
47,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
48,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
48,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
48,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
48,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
49,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
49,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
49,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
49,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
50,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
50,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
50,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
50,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
51,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
51,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
51,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
51,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
52,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
52,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
52,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
52,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
53,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
53,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
53,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
53,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
54,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
54,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
54,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
54,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
55,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
55,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
55,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
55,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
56,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
56,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
56,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
56,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
57,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
57,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
57,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
57,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
58,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
58,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
58,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
58,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
59,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
59,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
59,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
59,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
