step,vehicle,speed,route,distance_to_intersection,in_control_zone,raw_decision,final_decision
22,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
22,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
22,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
23,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
23,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
23,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
23,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
24,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
24,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
24,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
24,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
25,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
25,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
25,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
25,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
26,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
26,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
26,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
26,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
27,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
27,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
27,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
27,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
28,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
28,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
28,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
28,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
29,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
29,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
29,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
29,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
30,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
30,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
30,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
30,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
31,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
31,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
31,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
31,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
32,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
32,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
32,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
32,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
33,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
33,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
33,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
33,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
34,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
34,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
34,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
34,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
35,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
35,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
35,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
35,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
36,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
36,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
36,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
36,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
37,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
37,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
37,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
37,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
38,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
38,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
38,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
38,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
39,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
39,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
39,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
39,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
40,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
40,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
40,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
40,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
41,car0,2.600000000000005,N_S,17.3235563275327,True,PROCEED,PROCEED
41,car1,2.6,S_N,17.318755845991706,True,PROCEED,PROCEED
41,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
41,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
42,car0,5.200000000000005,N_S,13.103167821091775,True,PROCEED,PROCEED
42,car1,5.2,S_N,13.110386452472131,True,PROCEED,PROCEED
42,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
42,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
43,car0,7.800000000000004,N_S,9.49587935175243,True,PROCEED,PROCEED
43,car1,7.800000000000001,S_N,9.538989391255988,True,PROCEED,PROCEED
43,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
43,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
44,car0,10.400000000000004,N_S,13.336128224890123,True,PROCEED,PROCEED
44,car1,10.4,S_N,13.426687747973473,True,PROCEED,PROCEED
44,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
44,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
45,car0,13.000000000000004,N_S,23.72875422634077,True,WAIT,WAIT
45,car1,13.0,S_N,23.83387956572772,True,WAIT,WAIT
45,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
45,car3,0.0,W_E,23.992067339033696,True,PROCEED,PROCEED
46,car0,8.500000000000004,N_S,31.47882348984815,True,WAIT,WAIT
46,car1,8.5,S_N,31.589547303496467,True,WAIT,WAIT
46,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
46,car3,2.6,W_E,21.72680200185003,True,PROCEED,PROCEED
47,car0,4.0000000000000036,N_S,35.24576682991362,True,WAIT,WAIT
47,car1,4.0,S_N,35.35773550515821,True,WAIT,WAIT
47,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
47,car3,0.6989999999999886,W_E,21.13095244824849,True,PROCEED,PROCEED
48,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
48,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
48,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
48,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
49,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
49,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
49,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
49,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
50,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
50,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
50,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
50,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
51,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
51,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
51,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
51,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
52,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
52,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
52,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
52,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
53,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
53,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
53,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
53,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
54,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
54,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
54,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
54,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
55,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
55,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
55,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
55,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
56,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
56,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
56,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
56,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
