step,vehicle,speed,route,distance_to_intersection,in_control_zone,raw_decision,final_decision
23,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
23,car1,7.800000000000001,S_N,79.79565154716009,False,FREE,FREE
23,car2,7.800000000000001,E_W,113.30874996588412,False,FREE,FREE
23,car3,7.800000000000001,W_E,103.4600945786844,False,FREE,FREE
24,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
24,car1,10.4,S_N,69.45578066293037,False,FREE,FREE
24,car2,10.4,E_W,102.96555191992047,False,FREE,FREE
24,car3,10.4,W_E,93.12723391412052,False,FREE,FREE
25,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
25,car1,13.0,S_N,56.56199130177529,False,FREE,FREE
25,car2,13.0,E_W,90.05473078139086,False,FREE,FREE
25,car3,13.0,W_E,80.23586807101516,False,FREE,FREE
26,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
26,car1,13.032987,S_N,43.698757216762324,True,FREE,FREE
26,car2,13.89,E_W,76.29316518932187,False,FREE,FREE
26,car3,13.89,W_E,66.50914693740543,False,FREE,FREE
27,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
27,car1,12.846679666666665,S_N,31.157858599002328,True,FREE,FREE
27,car2,13.89,E_W,62.58795807081761,False,FREE,FREE
27,car3,13.89,W_E,52.86838311086374,False,FREE,FREE
28,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
28,car1,8.34667966666667,S_N,23.190004468155585,True,FREE,WAIT
28,car2,13.89,E_W,48.98643545632386,False,FREE,FREE
28,car3,13.89,W_E,39.4029496910622,True,FREE,WAIT
29,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
29,car1,3.8466796666666703,S_N,19.62423205524667,True,FREE,FREE
29,car2,13.89,E_W,35.6076135725443,True,FREE,WAIT
29,car3,9.39,W_E,30.516930669085014,True,FREE,WAIT
30,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
30,car1,0.0,S_N,19.62423205524667,True,FREE,FREE
30,car2,9.39,E_W,26.85828197382765,True,FREE,FREE
30,car3,4.890000000000001,W_E,26.030105164129893,True,FREE,FREE
31,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
31,car1,0.0,S_N,19.62423205524667,True,FREE,FREE
31,car2,11.99,E_W,16.7100228293627,True,FREE,FREE
31,car3,7.49,W_E,19.539849155688344,True,FREE,FREE
32,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
32,car1,0.0,S_N,19.62423205524667,True,FREE,FREE
32,car2,13.89,E_W,11.223560042704634,True,FREE,FREE
32,car3,10.09,W_E,12.713719989652914,True,FREE,FREE
33,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
33,car1,0.0,S_N,19.62423205524667,True,FREE,FREE
33,car2,13.89,E_W,18.960941093186936,True,FREE,FREE
33,car3,12.69,W_E,13.158867558091723,True,FREE,FREE
34,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
34,car1,0.0,S_N,19.62423205524667,True,FREE,FREE
34,car2,13.89,E_W,31.271637736760066,True,FREE,FREE
34,car3,13.89,W_E,23.551283603043768,True,FREE,FREE
35,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
35,car1,0.0,S_N,19.62423205524667,True,FREE,FREE
35,car2,13.89,E_W,44.51937817446201,True,FREE,FREE
35,car3,13.89,W_E,36.375052601917616,True,FREE,FREE
36,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
36,car1,0.0,S_N,19.62423205524667,True,FREE,FREE
36,car2,13.89,E_W,58.06804909484271,False,FREE,FREE
36,car3,13.89,W_E,49.773877351543,False,FREE,FREE
37,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
37,car1,0.0,S_N,19.62423205524667,True,FREE,FREE
37,car2,13.89,E_W,71.74737071600639,False,FREE,FREE
37,car3,13.89,W_E,63.384116336772514,False,FREE,FREE
38,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
38,car1,0.0,S_N,19.62423205524667,True,FREE,FREE
38,car2,13.89,E_W,85.49465287360216,False,FREE,FREE
38,car3,13.89,W_E,77.09388084247333,False,FREE,FREE
