run_id,scenario_class,vehicle_count,seed,planner,initial_demand_signature,departed,arrived,completion_rate,throughput,mean_waiting_time,maximum_waiting_time,mean_speed,episode_duration_seconds,collision_count,decision_epoch_count,grant_count,mean_grant_duration_seconds,grant_timeout_count,safety_intervention_count,gemini_request_count,provider_success_count,parser_success_count,fallback_count,fallback_rate,mean_latency_ms,prompt_tokens,completion_tokens,total_tokens,agreement_count,disagreement_count
phase2_formal_batch2_s2_simultaneous_conflict_v8_seed3_deterministic_candidate,S2_SIMULTANEOUS_CONFLICT,8,3,DETERMINISTIC_CANDIDATE,7AEC92E32F5DE643CCBAB1460594E379BE6E1DDFBA9DC73D79E7E7D360F8D0D4,8,8,1.0,8,11.25,32.0,7.218057553956834,54.0,0,5,5,8.8,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
phase2_formal_batch2_s2_simultaneous_conflict_v8_seed3_gemini_candidate,S2_SIMULTANEOUS_CONFLICT,8,3,GEMINI_CANDIDATE,7AEC92E32F5DE643CCBAB1460594E379BE6E1DDFBA9DC73D79E7E7D360F8D0D4,8,8,1.0,8,11.25,32.0,7.218057553956834,54.0,0,5,5,8.8,0,0,5,5,5,0,0.0,9231.92,7312,209,7521,5,0
phase2_formal_batch2_s3_cooperative_opportunity_v8_seed2_deterministic_candidate,S3_COOPERATIVE_OPPORTUNITY,8,2,DETERMINISTIC_CANDIDATE,BD95A18E24AA146561523594904FE989B5DEA959B6E8A272CDBBA92AAB0FEA94,8,8,1.0,8,7.5,18.0,7.449596774193545,49.0,0,4,4,9.25,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
phase2_formal_batch2_s3_cooperative_opportunity_v8_seed2_gemini_candidate,S3_COOPERATIVE_OPPORTUNITY,8,2,GEMINI_CANDIDATE,BD95A18E24AA146561523594904FE989B5DEA959B6E8A272CDBBA92AAB0FEA94,8,8,1.0,8,7.5,18.0,7.449596774193545,49.0,0,4,4,9.25,0,0,4,4,4,0,0.0,7327.8575,7246,196,7442,4,0
phase2_formal_batch2_s3_cooperative_opportunity_v8_seed3_deterministic_candidate,S3_COOPERATIVE_OPPORTUNITY,8,3,DETERMINISTIC_CANDIDATE,AE240B2CB3496669563C3816F9A6D17EC1F67276207C3FEC50547B9D3EA2545D,8,8,1.0,8,6.0,13.0,8.131929824561402,45.0,0,4,4,9.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
phase2_formal_batch2_s3_cooperative_opportunity_v8_seed3_gemini_candidate,S3_COOPERATIVE_OPPORTUNITY,8,3,GEMINI_CANDIDATE,AE240B2CB3496669563C3816F9A6D17EC1F67276207C3FEC50547B9D3EA2545D,8,8,1.0,8,6.0,13.0,8.131929824561402,45.0,0,4,4,9.0,0,0,4,4,4,0,0.0,5853.2225,6908,196,7104,4,0
phase2_formal_batch2_s4_fairness_pressure_v8_seed2_deterministic_candidate,S4_FAIRNESS_PRESSURE,8,2,DETERMINISTIC_CANDIDATE,4DBB20D4A3D76C6AFB2C48B735ED44C5DB5541622B303D8C8B4ECD3F85315FA1,8,8,1.0,8,6.25,23.0,7.877368421052626,46.0,0,4,4,9.25,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
phase2_formal_batch2_s4_fairness_pressure_v8_seed2_gemini_candidate,S4_FAIRNESS_PRESSURE,8,2,GEMINI_CANDIDATE,4DBB20D4A3D76C6AFB2C48B735ED44C5DB5541622B303D8C8B4ECD3F85315FA1,8,8,1.0,8,6.25,23.0,7.877368421052626,46.0,0,4,4,9.25,0,0,4,4,4,0,0.0,1408.325,7727,202,7929,4,0
phase2_formal_batch2_s4_fairness_pressure_v8_seed3_deterministic_candidate,S4_FAIRNESS_PRESSURE,8,3,DETERMINISTIC_CANDIDATE,2C8CAF5F8D952E408F846DFC555EF0AD9D4E932AF7B7A7FEFA8446057C52C611,8,8,1.0,8,5.375,19.0,8.441077586206891,43.0,0,4,4,8.5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
phase2_formal_batch2_s4_fairness_pressure_v8_seed3_gemini_candidate,S4_FAIRNESS_PRESSURE,8,3,GEMINI_CANDIDATE,2C8CAF5F8D952E408F846DFC555EF0AD9D4E932AF7B7A7FEFA8446057C52C611,8,8,1.0,8,5.375,19.0,8.441077586206891,43.0,0,4,4,8.5,0,0,4,4,4,0,0.0,3291.975,7722,196,7918,4,0
